month,ticker,month_end_price,prev_month_price,monthly_return
1990-05-01 00:00:00+07,AAPL,0.310205,0.296449,0.04640258526761770153
1990-06-01 00:00:00+07,AAPL,0.336696,0.310205,0.08539836559694395642
1990-07-01 00:00:00+07,AAPL,0.315981,0.336696,-0.06152434243353054387
1990-08-01 00:00:00+07,AAPL,0.278324,0.315981,-0.11917488709764194683
1990-09-01 00:00:00+07,AAPL,0.218181,0.278324,-0.21608988085828027766
1990-10-01 00:00:00+07,AAPL,0.231445,0.218181,0.06079356130918824279
1990-11-01 00:00:00+07,AAPL,0.276541,0.231445,0.19484542763939596880
1990-12-01 00:00:00+07,AAPL,0.323551,0.276541,0.16999287628235957778
1991-01-01 00:00:00+07,AAPL,0.417684,0.323551,0.29093713201319111979
1991-02-01 00:00:00+07,AAPL,0.430644,0.417684,0.03102824144568621254
1991-03-01 00:00:00+07,AAPL,0.511475,0.430644,0.18769795933532105405
1991-04-01 00:00:00+07,AAPL,0.413851,0.511475,-0.19086758883620900337
1991-05-01 00:00:00+07,AAPL,0.353589,0.413851,-0.14561279301004467792
1991-06-01 00:00:00+07,AAPL,0.312375,0.353589,-0.11655905585298185181
1991-07-01 00:00:00+07,AAPL,0.347843,0.312375,0.11354301720688275310
1991-08-01 00:00:00+07,AAPL,0.398745,0.347843,0.14633613440546453429
1991-09-01 00:00:00+07,AAPL,0.372528,0.398745,-0.06574878681864349396
1991-10-01 00:00:00+07,AAPL,0.387655,0.372528,0.04060634368423313147
1991-11-01 00:00:00+07,AAPL,0.381959,0.387655,-0.01469347744773058519
1991-12-01 00:00:00+07,AAPL,0.424358,0.381959,0.11100406064525250092
1992-01-01 00:00:00+07,AAPL,0.48725,0.424358,0.14820505328048487362
1992-02-01 00:00:00+07,AAPL,0.50773,0.48725,0.04203181118522319138
1992-03-01 00:00:00+07,AAPL,0.438193,0.50773,-0.13695665018809209619
1992-04-01 00:00:00+07,AAPL,0.452374,0.438193,0.03236245216149048479
1992-05-01 00:00:00+07,AAPL,0.449596,0.452374,-0.00614093648176066706
1992-06-01 00:00:00+07,AAPL,0.361147,0.449596,-0.19672995311346186354
1992-07-01 00:00:00+07,AAPL,0.351794,0.361147,-0.02589804151771993122
1992-08-01 00:00:00+07,AAPL,0.346077,0.351794,-0.01625098779399307549
1992-09-01 00:00:00+07,AAPL,0.339524,0.346077,-0.01893509247941931998
1992-10-01 00:00:00+07,AAPL,0.394801,0.339524,0.16280734204356687598
1992-11-01 00:00:00+07,AAPL,0.432752,0.394801,0.09612690950630824137
1992-12-01 00:00:00+07,AAPL,0.449596,0.432752,0.03892298591340999002
1993-01-01 00:00:00+07,AAPL,0.447813,0.449596,-0.00396578261372432139
1993-02-01 00:00:00+07,AAPL,0.398745,0.447813,-0.10957252245915147617
1993-03-01 00:00:00+07,AAPL,0.387655,0.398745,-0.02781226096878957730
1993-04-01 00:00:00+07,AAPL,0.38541,0.387655,-0.00579123189433903858
1993-05-01 00:00:00+07,AAPL,0.425835,0.38541,0.10488830077060792403
1993-06-01 00:00:00+07,AAPL,0.297364,0.425835,-0.30169196989444268320
1993-07-01 00:00:00+07,AAPL,0.208848,0.297364,-0.29766885029795133237
1993-08-01 00:00:00+07,AAPL,0.199261,0.208848,-0.04590419826859725734
1993-09-01 00:00:00+07,AAPL,0.175765,0.199261,-0.11791569850597959460
1993-10-01 00:00:00+07,AAPL,0.231445,0.175765,0.31678661849628765681
1993-11-01 00:00:00+07,AAPL,0.23715,0.231445,0.02464948475879798656
1993-12-01 00:00:00+07,AAPL,0.219974,0.23715,-0.07242673413451402066
1994-01-01 00:00:00+07,AAPL,0.246404,0.219974,0.12015056324838389992
