ticker,month,cum_index,peak,drawdown
AAPL,1984-09-01 00:00:00+07,,,
AAPL,1984-10-01 00:00:00+07,,,
AAPL,1984-11-01 00:00:00+07,0.9839947512636141754023742234981074555568,0.9839947512636141754023742234981074555568,0.0000000000000000000000000000000000000000
AAPL,1984-12-01 00:00:00+07,1.1597647835692469061145736227659804636260,1.1597647835692469061145736227659804636260,0.0000000000000000000000000000000000000000
AAPL,1985-01-01 00:00:00+07,1.1565267888328462185952055043238752347003,1.1597647835692469061145736227659804636260,-0.0027919409023919152739325676603765351177
AAPL,1985-02-01 00:00:00+07,0.9839947512636141753949584248256749705331,1.1597647835692469061145736227659804636260,-0.1515566214768909678495708149260228352686
AAPL,1985-03-01 00:00:00+07,0.8817749731671091926002660271606792867460,1.1597647835692469061145736227659804636260,-0.2396949918987944307710204692240248546340
AAPL,1985-04-01 00:00:00+07,0.8466220283436011384826110909845838274660,1.1597647835692469061145736227659804636260,-0.2700054008037128237150684343832231651399
AAPL,1985-05-01 00:00:00+07,0.6931368312877345820832822070359185637224,1.1597647835692469061145736227659804636260,-0.4023470611389288100961977511819370879073
AAPL,1985-06-01 00:00:00+07,0.7188751737104553257472858576781242985068,1.1597647835692469061145736227659804636260,-0.3801543348315223858788269106329268338923
AAPL,1985-07-01 00:00:00+07,0.6324536250147302219504260466304943060300,1.1597647835692469061145736227659804636260,-0.4546707798211327041565007345709721846868
AAPL,1985-08-01 00:00:00+07,0.5974057823154528786782843223295448071630,1.1597647835692469061145736227659804636260,-0.4848905650705308349285704101178731139650
AAPL,1985-09-01 00:00:00+07,0.6294215879763169879930704867556339099381,1.1597647835692469061145736227659804636260,-0.4572851349743232976105848825819755379868
AAPL,1985-10-01 00:00:00+07,0.7412640494468337188770854110043721120400,1.1597647835692469061145736227659804636260,-0.3608496654247869428726645645874345311744
AAPL,1985-11-01 00:00:00+07,0.8018432152332258602035012214763618260406,1.1597647835692469061145736227659804636260,-0.3086156550076435103474328492666790917097
AAPL,1985-12-01 00:00:00+07,0.8752894289557413893150543813702491818129,1.1597647835692469061145736227659804636260,-0.2452871122177164669603576944694199043086
AAPL,1986-01-01 00:00:00+07,0.9202763230393411052174117245256593061706,1.1597647835692469061145736227659804636260,-0.2064974414836648572489120569785026440658
AAPL,1986-02-01 00:00:00+07,0.9969669013239682740103623199401368589476,1.1597647835692469061145736227659804636260,-0.1403714654485870948288954293015051860993
AAPL,1986-03-01 00:00:00+07,1.1246139620209758360567012434962058479014,1.1597647835692469061145736227659804636260,-0.0303085781239987916860674490390952935509
AAPL,1986-04-01 00:00:00+07,1.2047676022171240024574827342842085562166,1.2047676022171240024574827342842085562166,0.0000000000000000000000000000000000000000
AAPL,1986-05-01 00:00:00+07,1.4727780190054366462427169188153138549444,1.4727780190054366462427169188153138549444,0.0000000000000000000000000000000000000000
AAPL,1986-06-01 00:00:00+07,1.4277115021004500281798307031415435280864,1.4727780190054366462427169188153138549444,-0.0305996669718223561417883088764146271867
AAPL,1986-07-01 00:00:00+07,1.2456512669052520274529888597468663531098,1.4727780190054366462427169188153138549444,-0.1542165548162938721428740356820287631192
AAPL,1986-08-01 00:00:00+07,1.4727780190054366462337854038803889946925,1.4727780190054366462427169188153138549444,-0.0000000000000000000060643999432828921483
AAPL,1986-09-01 00:00:00+07,1.3328010990072626629450928331900202531952,1.4727780190054366462427169188153138549444,-0.0950427818665436432716694269341833488963
AAPL,1986-10-01 00:00:00+07,1.3804155461966301498758605403471897846445,1.4727780190054366462427169188153138549444,-0.0627130983874804472052206439365501654559
AAPL,1986-11-01 00:00:00+07,1.5942718280656644099793055094335627855491,1.5942718280656644099793055094335627855491,0.0000000000000000000000000000000000000000
AAPL,1986-12-01 00:00:00+07,1.6136360982269590133588380547202474265134,1.6136360982269590133588380547202474265134,0.0000000000000000000000000000000000000000
AAPL,1987-01-01 00:00:00+07,2.2109346551429441971384263603221778302975,2.2109346551429441971384263603221778302975,0.0000000000000000000000000000000000000000
AAPL,1987-02-01 00:00:00+07,2.7860556022086309015110627865747430397576,2.7860556022086309015110627865747430397576,0.0000000000000000000000000000000000000000
AAPL,1987-03-01 00:00:00+07,2.5683137266559158163895254772793891266575,2.7860556022086309015110627865747430397576,-0.0781541744465190717503516531998157113679
AAPL,1987-04-01 00:00:00+07,3.1569280878526362054700401442045969144800,3.1569280878526362054700401442045969144800,0.0000000000000000000000000000000000000000
AAPL,1987-05-01 00:00:00+07,3.1501336070942872218393095805086618136533,3.1569280878526362054700401442045969144800,-0.0021522443873501836100126888555403027005
AAPL,1987-06-01 00:00:00+07,3.2291406786624639972411519087883424268845,3.2291406786624639972411519087883424268845,0.0000000000000000000000000000000000000000
AAPL,1987-07-01 00:00:00+07,3.2909598371872548280967065047895940037774,3.2909598371872548280967065047895940037774,0.0000000000000000000000000000000000000000
AAPL,1987-08-01 00:00:00+07,4.3131363853999348155224951405256043881099,4.3131363853999348155224951405256043881099,0.0000000000000000000000000000000000000000
AAPL,1987-09-01 00:00:00+07,4.5119492622149370290454755237200139024757,4.5119492622149370290454755237200139024757,0.0000000000000000000000000000000000000000
AAPL,1987-10-01 00:00:00+07,3.0842377601144870008176671088801782844370,4.5119492622149370290454755237200139024757,-0.3164289798328937244593145311069137111225
AAPL,1987-11-01 00:00:00+07,2.6361205213490016891046332696151745153607,4.5119492622149370290454755237200139024757,-0.4157468605808484255274879403115875920343
AAPL,1987-12-01 00:00:00+07,3.3545731632872971874602235615609806887122,4.5119492622149370290454755237200139024757,-0.2565135447377523241238513301539384814239
